data_ref,commodity,ticker,preco_raw,volume,fonte,data_coleta
2025-05-21,soja,ZS=F,1062.75,129770,Yahoo Finance / CBOT,2026-03-21
2025-05-22,soja,ZS=F,1067.5,114369,Yahoo Finance / CBOT,2026-03-21
2025-05-23,soja,ZS=F,1060.25,105119,Yahoo Finance / CBOT,2026-03-21
2025-05-27,soja,ZS=F,1062.5,85012,Yahoo Finance / CBOT,2026-03-21
2025-05-28,soja,ZS=F,1048.5,94732,Yahoo Finance / CBOT,2026-03-21
2025-05-29,soja,ZS=F,1051.75,121364,Yahoo Finance / CBOT,2026-03-21
2025-05-30,soja,ZS=F,1041.75,103024,Yahoo Finance / CBOT,2026-03-21
2025-06-02,soja,ZS=F,1033.5,110582,Yahoo Finance / CBOT,2026-03-21
2025-06-03,soja,ZS=F,1040.75,103958,Yahoo Finance / CBOT,2026-03-21
2025-06-04,soja,ZS=F,1045.0,136377,Yahoo Finance / CBOT,2026-03-21
2025-06-05,soja,ZS=F,1051.75,0,Yahoo Finance / CBOT,2026-03-21
2025-06-06,soja,ZS=F,1057.25,130387,Yahoo Finance / CBOT,2026-03-21
2025-06-09,soja,ZS=F,1056.0,120715,Yahoo Finance / CBOT,2026-03-21
2025-06-10,soja,ZS=F,1057.75,139464,Yahoo Finance / CBOT,2026-03-21
2025-06-11,soja,ZS=F,1050.5,159137,Yahoo Finance / CBOT,2026-03-21
2025-06-12,soja,ZS=F,1042.25,228330,Yahoo Finance / CBOT,2026-03-21
2025-06-13,soja,ZS=F,1069.75,211601,Yahoo Finance / CBOT,2026-03-21
